BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,200,0,0,18446743702504056938,ffffffa9926da86a,50,18445294023553359466,fffad92fe3889e6a,50,18445294023553359466,fffad92fe3889e6a,497825,99565.000
1,151,200,18440943873084784640,ffeb64bf8e228000,18446709763089103193,ffffe0cb6fa7f959,50,18444880949357749540,fff9617f8ed6a524,151,18440962643398245381,ffeb75d1dc003c05,497521,99504.200
2,208,200,18439291576302346240,ffe585fe3b5aa000,18446740983147029203,fffffd306c1e62d3,50,18445165970589688809,fffa64b93c1f23e9,208,18439307410994069074,ffe5946508877e52,498736,99747.200
3,172,200,18440431661230096384,ffe992e4f07c8000,18446740979504035554,fffffd2f92fab6e2,50,18444764325987790765,fff8f76e104cafad,172,18440488344531263403,ffe9c6728c845fab,497897,99579.400
4,218,200,18438825082822508544,ffe3ddb84132c000,18446692706076874552,ffffd1480a805738,50,18444799205136745487,fff91726ff95440f,218,18438897168861611999,ffe41f4817f3c7df,495829,99165.800
5,230,200,18438964599418331136,ffe45c9bfe552000,18446714562014099955,ffffe528c5e039f3,50,18445111512901802348,fffa3331d0fad96c,230,18439165325280961513,ffe5132b201263e9,497260,99452.000
6,178,200,18440213830478553088,ffe8ccc743eb6000,18446693098821856027,ffffd1a37bed2b1b,50,18444868287579861976,fff955fb8210b3d8,178,18440243772147682083,ffe8e8029a78cb23,490750,98150.000
7,199,200,18439240929190789120,ffe557ee0842c000,18446738131388333877,fffffa98720dff35,50,18444620042142565203,fff874345cf54353,199,18439245188218091193,ffe55bcdaa11f6b9,496074,99214.800
8,255,200,18438247947441602560,ffe1d0d173d50000,18446729746377326144,fffff2f82873be40,50,18444935366180296775,fff992fd76375847,255,18438267079657363356,ffe1e23804c1979c,498959,99791.800
9,189,200,18439509243592531968,ffe64bf5d8dd6000,18446737568086275957,fffffa154aa2b775,50,18444750556420351647,fff8eae8161fa69f,189,18439520317985003821,ffe656084e18192d,497205,99441.000
10,212,200,18438770004552753152,ffe3aba0587ea000,18446707304451452601,ffffde8efd6eaeb9,50,18445181144076683241,fffa7286166c87e9,212,18438855824051893927,ffe3f9adc14176a7,498342,99668.400
11,145,200,18440492355178078208,ffe9ca1859b22000,18446669035244045994,ffffbbc0beeb46aa,50,18444121849535056242,fff6af19db8ec972,145,18440504025948794231,ffe9d4b5a9d6ad77,497748,99549.600
12,298,200,18436255177011568640,ffdabc676e3b2000,18446723389282920755,ffffed3008192933,50,18445132720527717182,fffa467b99fd333e,298,18436263150281145009,ffdac3a7da21bab1,496839,99367.800
13,149,200,18440298660982210560,ffe919ee67f4c000,18446735757993057819,fffff86fd8ac1e1b,50,18444928666899534491,fff98ce5a9f7529b,149,18440367092619755992,ffe9582b636741d8,498700,99740.000
14,183,200,18439482446469480448,ffe63396a7dd4000,18446722426873635040,ffffec4ff408e0e0,50,18445054708617660517,fff9ff8809cd4865,183,18439506358691206941,ffe649562758971d,492967,98593.400
15,206,200,18439986613341986816,ffe7fe2027352000,18446741207426092529,fffffd64a4314df1,50,18445201050535232021,fffa84a0ebd08215,206,18439997900756514522,ffe80864358a76da,495590,99118.000
16,156,200,18440571981012271104,ffea1283af420000,18446699273227441217,ffffd741132d9441,50,18444998530734286721,fff9cc701b04e781,156,18440582648466126501,ffea1c37650e36a5,497923,99584.600
17,184,200,18439761901808492544,ffe731c06c13a000,18446722095515548496,ffffec02cd8dbb50,50,18445165195023215064,fffa6404a8c1e9d8,184,18439764699373111396,ffe7344bc7ec0864,499167,99833.400
18,147,200,18440428558964203520,ffe99012a307a000,18446712356094664834,ffffe3272ad4e082,50,18444506536443588388,fff80cf8c2172f24,147,18440444106662815348,ffe99e369e152674,498831,99766.200
19,258,200,18437793924645699584,ffe033e3085cc000,18446725722911857774,ffffef4f5f38dc6e,50,18444649345018538233,fff88edaf878a8f9,258,18437834284737994772,ffe058981953a014,498928,99785.600
20,235,200,18438365158945497088,ffe23b6be1e2a000,18446643474388825126,ffffa48165393426,50,18444519876050652317,fff8191aa0a18c9d,235,18438383829518776205,ffe24c66f6c5f78d,498263,99652.600
21,252,200,18437847283073957888,ffe0646a82864000,18446737017006854088,fffff994fbbe0fc8,50,18444748676388900413,fff8e9325b844e3d,252,18437860922617294111,ffe070d236a8ed1f,490625,98125.000
22,185,200,18438762484426948608,ffe3a4c96e114000,18446734235388832332,fffff70d56636a4c,50,18444857545165839295,fff94c36584b1bbf,185,18438885765180666268,ffe414e8f799b19c,498399,99679.800
23,193,200,18439197959534698496,ffe530d9612c6000,18446631782724075693,ffff99df37b300ad,50,18444658508134077360,fff897306cb7d3b0,193,18439240471117651134,ffe5578360f95cbe,493766,98753.200
24,223,200,18438401811407650816,ffe25cc1b2df4000,18446727095172268412,fffff08ee051017c,50,18444770953624187517,fff8fd752e36727d,223,18438499721653859795,ffe2b5ce345135d3,496262,99252.400
25,203,200,18438851593368092672,ffe3f5d4b8d9c000,18446710751698656373,ffffe1b19d609c75,50,18444745859953901202,fff8e6a29ae8be92,203,18438913495234519797,ffe42e215f9c22f5,488385,97677.000
26,209,200,18438751218686951424,ffe39a8a6ba30000,18446736548507344480,fffff927e6fede60,50,18444357085814048268,fff7850c1267c60c,209,18438810469209991512,ffe3d06dc203e958,496987,99397.400
27,282,200,18437196122127540224,ffde1430499f2000,18446611001207771447,ffff86f8a4cd5137,50,18445127218717488410,fffa417a9c8b751a,282,18437293685803281372,ffde6cec19db6bdc,494747,98949.400
28,151,200,18440276653741301760,ffe905ea722de000,18446678593495408407,ffffc47233189f17,50,18443901333731075236,fff5e68b0564e4a4,151,18440317228998885238,ffe92ad19bfe7f76,498795,99759.000
29,286,200,18435373113795649536,ffd79a2c1593a000,18446726476641310571,ffffeffedcff976b,50,18444621527549190769,fff8758e3617a271,286,18435373583294465862,ffd79a9965e30746,494063,98812.600
30,230,200,18438253889068105728,ffe1d638d85e8000,18446727443186513440,fffff0dfe794f620,50,18444742903446807263,fff8e3f23d5aa2df,230,18438255635243081088,ffe1d7cf68821d80,498801,99760.200
31,212,200,18438739392658571264,ffe38fc8f56a8000,18446692803046677235,ffffd15e9e5a1af3,50,18444650934266188123,fff8904cff03515b,212,18438761979178797159,ffe3a453caee4867,498661,99732.200
32,234,200,18438371515936096256,ffe24133fc0d4000,18446722726430817185,ffffec95b308bba1,50,18444891845787002147,fff96b6894a22523,234,18438378162784923374,ffe2473f931d6eee,497642,99528.400
33,185,200,18439335162019356672,ffe5ada25288a000,18446685989856292906,ffffcb2c4c8f302a,50,18444706380378436074,fff8c2ba8cd671ea,185,18439376172638383651,ffe5d2eed9e9ae23,496060,99212.000
34,198,200,18438593300385087488,ffe30aea3359c000,18446743823146303431,ffffffc5a9443fc7,50,18445172103765002585,fffa6a4d39db8959,198,18438647802437362256,ffe33c7bf2d0e250,486802,97360.400
35,164,200,18440456193931354112,ffe9a934e76e2000,18446739874565900818,fffffc2e4f88ca12,50,18444893222669822508,fff96ca9293eaa2c,164,18440541321806873560,ffe9f6a1483603d8,496481,99296.200
36,223,200,18439340669550632960,ffe5b2a4a4faa000,18446738441508849449,fffffae0a6ad8729,50,18444558026464074964,fff83bcd36789cd4,223,18439363946370617987,ffe5c7d03390d283,490240,98048.000
37,243,200,18437999884727648256,ffe0ef34d9e28000,18446723113796039323,ffffecefe3ccf29b,50,18444677965137533030,fff8a8e29c7f5866,243,18438018911523681801,ffe10082df4db609,498428,99685.600
38,264,200,18438479639421476864,ffe2a38a71fd6000,18446740342520940611,fffffc9b43d40843,50,18445077311267237652,fffa1416a0b36f14,264,18438519940451322855,ffe2c831c28ecbe7,499282,99856.400
39,181,200,18440077023940296704,ffe8505a82cdc000,18446732169684374400,fffff52c60ced380,50,18444910031818338053,fff97bf2d8922f05,181,18440084692867453490,ffe85754127b9232,498454,99690.800
40,184,200,18439407906144698368,ffe5efcb6248c000,18446665801815791156,ffffb8cfe7939634,50,18444528211115478727,fff820af49358ec7,184,18439444595253358805,ffe61129bb92b0d5,495390,99078.000
41,237,200,18437880623333261312,ffe082bd24d64000,18446664863927591424,ffffb7f589156200,50,18444622817908821036,fff876baa5850c2c,237,18437914353304772910,ffe0a16a83cea12e,495075,99015.000
42,240,200,18438259050506633216,ffe1daea96144000,18446712937845414234,ffffe3ae9de0d95a,50,18444909475600239233,fff97b7157638a81,240,18438261954208909122,ffe1dd8ea838c742,497272,99454.400
43,215,200,18439405681272299520,ffe5edc55d8e2000,18446706854253457230,ffffde262b8a6f4e,50,18444863003304756667,fff9512d2ab985bb,215,18439431754610861221,ffe6057c09a364a5,495574,99114.800
44,204,200,18439219792090374144,ffe544b4aae62000,18446712838459620601,ffffe3977a05fcf9,50,18445081193316737293,fffa179e7ce1e10d,204,18439239069445821150,ffe5563d06d292de,493353,98670.600
45,181,200,18440092552138293248,ffe85e79f3878000,18446697083312555426,ffffd543321445a2,50,18444854956755450243,fff949dbaf02f983,181,18440101885328232410,ffe866f701000fda,491524,98304.800
