BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
62,156,150,18443853695361421312,fff5bb37594b1000,18446728807134919600,fffff21d793dfbb0,50,18445804724833392958,fffca9aacbea993e,156,18443859171304605875,fff5c03250f108b3,1014356,202871.200
63,118,150,18443926027081074688,fff5fd0063bfc800,18446743302062877226,ffffff4c56462a2a,50,18445692493400822917,fffc4397e13ed485,118,18443969996741793953,fff624fddfc1d8a1,682135,136427.000
64,129,150,18443589332783368192,fff4cac7a3bc8800,18446725658052723310,ffffef404551026e,50,18445514605067563620,fffba1ce0654f264,129,18443608695823804581,fff4dc63f2e228a5,885566,177113.200
65,254,150,18443055667783585792,fff2e56a12fed000,18446734675548341105,fffff773d1f08371,50,18446018332819822760,fffd6bf1481198a8,254,18443056418839837539,fff2e618f16fbb63,1089413,217882.600
66,130,150,18444566851040364544,fff843d3d834c800,18446742201828895206,fffffe4c2b37e9e6,50,18445834463824508836,fffcc4b6f1eaf7a4,130,18444569581099594247,fff8464f7c6ab207,1007242,201448.400
67,179,150,18444015244054423552,fff64e24d5c0e800,18446738497520374561,fffffaedb1399321,50,18446038890253484684,fffd7ea3ae99828c,179,18444048173065756489,fff66c17b7c6df49,1151539,230307.800
68,136,150,18444628523341348864,fff87beb0bcc8000,18446724195148778258,ffffedeba9724b12,50,18445956975837177899,fffd34237ee9e82b,136,18444630191800657846,fff87d6f83b927b6,1114645,222929.000
69,78,150,18444382780092430336,fff79c6a7cbdb800,18446742716096126219,fffffec3e7ef1d0b,50,18445410702979469626,fffb434e6f47913a,78,18444382861657221790,fff79c7d7a61aa9e,590580,118116.000
70,201,150,18442743961519304704,fff1c9eb4dd6b000,18446737723484216040,fffffa3979131ae8,50,18445971712442044685,fffd418aa103110d,201,18442778279722562751,fff1e921a22734bf,921075,184215.000
71,147,150,18444426989907030016,fff7c49fe3093000,18446731334059019853,fffff469d1a7ce4d,50,18446137678696367098,fffdd87ca8a543fa,147,18444465596196396127,fff7e7bc9d331c5f,1132180,226436.000
72,111,150,18444924888669995008,fff98975f9efc000,18446743377717253595,ffffff5df3a055db,50,18445994433916521955,fffd5634e26d4de3,111,18444934472707980026,fff9922d6f1dbafa,1143198,228639.600
73,83,150,18444495154330464256,fff8029ea747f000,18446741318033747837,fffffd7e64ec2f7d,50,18445628371460478268,fffc094653c4d53c,83,18444544009171575051,fff82f0d8ebb210b,837133,167426.600
74,193,150,18443396966962333696,fff41bd2fb4e8800,18446685337773246459,ffffca94796187fb,50,18445808732860333167,fffcad4ffcf03c6f,193,18443402235172728488,fff4209d951daea8,1013891,202778.200
75,148,150,18443938051161899008,fff607eff6d0c000,18446706252673924696,ffffdd9a1a9b3e58,50,18445762942630972474,fffc83aa9e954c3a,148,18443968449228010398,fff6239590bf739e,1012710,202542.000
76,166,150,18443800680473817088,fff58affdbbff000,18446743810431886689,ffffffc2b36da561,50,18445772887941950102,fffc8cb6314faa96,166,18443830567890128951,fff5a62e90951037,956631,191326.200
77,164,150,18443830516406745088,fff5a62293eef800,18446741650628118690,fffffdcbd51788a2,50,18445867461756844975,fffce2b9dff3fbaf,164,18443869200908459834,fff5c95183ea9f3a,987637,197527.400
78,140,150,18444114237851428864,fff6a82d9fdbe800,18446732127834531202,fffff522a25ce582,50,18445660199303917144,fffc2638d3122e58,140,18444137404403322446,fff6bd3f81f48e4e,949518,189903.600
79,176,150,18443492450492649472,fff472aa79369000,18446741015936926559,fffffd380e8c835f,50,18445714381122224709,fffc5780031ac245,176,18443517545953025605,fff4897d7736de45,1039045,207809.000
80,142,150,18443654995947569152,fff5068009504000,18446738909134254751,fffffb4d8752f29f,50,18445793944843132788,fffc9fdce26d1f74,142,18443659024265151731,fff50a29f3c084f3,890133,178026.600
81,97,150,18443893687110295552,fff5df96a7476000,18446743207489564993,ffffff365143f141,50,18445416637766691362,fffb48b43c29ea22,97,18443942264614052046,fff60bc4fc2260ce,630080,126016.000
82,255,150,18442761765880969216,fff1da1cb47db800,18446692826813555899,ffffd16426f7e4bb,50,18445824010107944533,fffcbb34ffdafe55,255,18442774737209074533,fff1e5e8d3e52365,1161350,232270.000
83,159,150,18443983882904731648,fff6319eff910000,18446658158190658091,ffffb1dc3c04022b,50,18445879147880361220,fffced5ac331ad04,159,18443986917434695244,fff6346187a59e4c,1085790,217158.000
84,114,150,18444149296221982720,fff6c81049951000,18446732888685026180,fffff5d3c8961b84,50,18445639249482287001,fffc132b10650799,114,18444165350810376604,fff6d6aa499ed99c,814800,162960.000
85,192,150,18443429601027758080,fff43981312f1800,18446733789426201742,fffff6a580f1b48e,50,18445971338671998941,fffd41339a94c7dd,192,18443433471914411365,fff43d0674020565,1018930,203786.000
86,129,150,18444425868596893696,fff7c39acfbe5800,18446739227384736030,fffffb97a087e91e,50,18445987475936997668,fffd4fe0da877124,129,18444467951459746666,fff7e9e0fdd5c36a,985076,197015.200
87,69,150,18444474280391888896,fff7efa28f965000,18446734992724850259,fffff7bdab21f653,50,18445329330956806441,fffaf94c88c62929,69,18444495814197156674,fff803384a669b42,584464,116892.800
88,207,150,18442499845451315200,fff0ebe59a527800,18446728773028708503,fffff215885a8097,50,18445748000089581754,fffc761389b628ba,207,18442499877523272155,fff0ebed11f5b1db,998263,199652.600
89,152,150,18443755852849641472,fff5623a9d227800,18446731792826263062,fffff4d4a2506616,50,18445918426723009915,fffd111414a8457b,152,18443763631678760131,fff5694dc37b24c3,972355,194471.000
90,115,150,18444267132749928448,fff7333c3df8d800,18446740127608130178,fffffc693a06ca82,50,18445612904215731485,fffbfb351423dd1d,115,18444299222722101909,fff7506bc55d4295,842218,168443.600
91,127,150,18443350565228093440,fff3f19f3c6ba000,18446727775797797760,fffff12d58c26380,50,18445460603983037975,fffb70b0eadf0617,127,18443385626465946099,fff41182910c49f3,731631,146326.200
92,209,150,18442893664530012160,fff25212c09d1800,18446734846871800223,fffff79bb59d099f,50,18445805672450454253,fffcaa876e4b72ed,209,18442951416749838531,fff286993d2950c3,942278,188455.600
93,106,150,18443928869932257280,fff5ff964ae25000,18446611198069162285,ffff87267aa7c12d,50,18445259406205517330,fffab9b3e8cffe12,106,18443949878929809424,fff612b1d4b86010,678460,135692.000
94,179,150,18442290071197450240,fff02d1bba700000,18446729232595749343,fffff28088af09df,50,18445694556865591280,fffc4578515477f0,179,18442318511083658229,fff046f967c09bf5,734152,146830.400
95,158,150,18443595523177670656,fff4d068f3fd6800,18446728959539467562,fffff240f542d52a,50,18445653010320226976,fffc1faf02407aa0,158,18443681840186200426,fff51eea329f116a,980104,196020.800
96,120,150,18443470883541575680,fff45f0d06c16800,18446733215046775306,fffff61fc543320a,50,18445554283620617663,fffbc5e468644dbf,120,18443473940267697138,fff461d4b9d483f2,622012,124402.400
97,171,150,18443174703442751488,fff351ad392cf000,18446728900203598701,fffff2332491536d,50,18445989626499021117,fffd51d59203b93d,171,18443195114493441331,fff3643d8a99f533,775956,155191.200
98,97,150,18444480732077959168,fff7f580b60b2800,18446743157384246726,ffffff2aa6c175c6,50,18445605743754910899,fffbf4b1e76a9cb3,97,18444588791307461310,fff857c8360862be,875429,175085.800
99,171,150,18443329083845632000,fff3de15b63fe000,18446743398620582083,ffffff62d18fd0c3,50,18445707923376283230,fffc51a073739e5e,171,18443336458976626670,fff3e4cade5007ee,893022,178604.400
