BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,100,0,0,18446736205499241769,fffff8d80a1e9529,50,18445199208791977991,fffa82f41b5cb007,50,18445199208791977991,fffa82f41b5cb007,629973,125994.600
1,80,100,18443654343874404352,fff505e836b96000,18446559684814072469,ffff584c9d626a95,50,18444699061873403939,fff8bc1293f1e823,80,18443681533954101036,fff51ea2e5c40f2c,548187,109637.400
2,100,100,18442654050037256192,fff1782527e3d000,18446731993424822221,fffff50356eb7fcd,50,18444835156440700892,fff937d99048d7dc,100,18442798063964932831,fff1fb2002e44adf,480354,96070.800
3,102,100,18442926239171850240,fff26fb32091b000,18446701538755853225,ffffd9508f31bba9,50,18445019383959196383,fff9df67601512df,102,18442953279614274119,fff2884af888ca47,465797,93159.400
4,92,100,18443294694208839680,fff3becec02a2000,18446743361290170496,ffffff5a207ef080,50,18444885836349850769,fff965f166444491,92,18443350524479567745,fff3f195bf9e7781,554886,110977.200
5,84,100,18443027598990151680,fff2cbe2cc889000,18446678400831489412,ffffc445576e8584,50,18444210237090180935,fff6ff7d30622f47,84,18443038428135230812,fff2d5bc27e10d5c,369524,73904.800
6,102,100,18441676400470810624,ffedfefa60c46000,18446699874066711062,ffffd7ccf7fd4216,50,18444151213341590619,fff6c9cea6d0c45b,102,18441704211622095130,ffee1845aa8f691a,393282,78656.400
7,85,100,18441558352973631488,ffed939d4da19000,18446576030477709622,ffff672a62dbf136,50,18443315276871838351,fff3d187067b2a8f,85,18441594875532614635,ffedb4d4dfc91beb,378097,75619.400
8,132,100,18439886480034123776,ffe7a30e0cf65000,18446738188326209730,fffffaa5b3d108c2,50,18444517320799243638,fff816c7afc74d76,132,18440155590348712892,ffe897cf2dab2bbc,439877,87975.400
9,112,100,18442290567888936960,fff02d8f5f8ea000,18446702300866391787,ffffda020085aeeb,50,18444790808548017453,fff90f8403e5052d,112,18442412463236741665,fff09c6c58767a21,503414,100682.800
10,124,100,18442837543386484736,fff21f0807ca1000,18446734395374391195,fffff73296454f9b,50,18445299335262323253,fffade049e0f4235,124,18442883056921463907,fff2486cf9dfcc63,593603,118720.600
11,67,100,18443854596815093760,fff5bc093c1e8000,18446679083116216575,ffffc4e432c540ff,50,18444626766083662346,fff87a51e714220a,67,18443858847895936296,fff5bfe704485d28,414043,82808.600
12,101,100,18442509458457772032,fff0f4a3ce284000,18446741781875199072,fffffdea64070c60,50,18444427837777050942,fff7c5654c06fd3e,101,18442661955339201675,fff17f55c09aac8b,453728,90745.600
13,95,100,18442111601844551680,ffef8aca980e0000,18446727647177143114,fffff10f665ef34a,50,18444556166718872101,fff83a1c3504da25,95,18442226215508250213,ffeff3082ac40e65,438477,87695.400
14,110,100,18442368259728191488,fff074386a09b000,18446739894369656213,fffffc32ebee1d95,50,18444751579266018180,fff8ebd63c79eb84,110,18442381611325578201,fff0805d1341dbd9,478161,95632.200
15,97,100,18442759084822482944,fff1d7ac78f3d000,18446742732533694310,fffffec7bbb07f66,50,18444831818455845523,fff934d060e20a93,97,18442847316218061074,fff227eb71f1a112,430777,86155.400
16,78,100,18442919563202138112,fff269a0c1c41000,18446737082286116654,fffff9a42eb08f2e,50,18444367196488044107,fff78e3e25898e4b,78,18442932791139805715,fff275a8a04aaa13,435739,87147.800
